𫵱	cat6 【俗】男生殖器。
𢆡	nin1 音年第1声。乳房。
𢆡	nin1 奶汁。
𢆡罩	nin1 zaau3 【俗】乳罩(𢆡：乳房)。
𩬎(阴)	jam4(1) 额前的刘海。师傅，唔该将啲～剪短啲，髧咗落嚟会遮住对眼。(师傅，请把额前的刘海剪短点儿，长了垂下来会把眼睛挡住。)
𩯊	niu1 (身材)瘦；苗条。阿秀一日想身材～啲，又话减肥又剩。(阿秀成天想身材苗条些，又说要减肥什么的。)
𩯊	niu1 (条状物)细；细而长(略含因太细而不能令人满意的意思)。咁～条竹唔得，一拗就断啦。(这么细的竹子不行，一折就断了。)│呢条绳～得滞，换条粗啲嘅嚟。(这条绳子太细，换一条粗点儿的来。)
𩯊高	niu1 gou1 (身材)瘦而高(𩯊：瘦)。佢生得～～(他长得瘦高瘦高的。)
𥊙	zong1 窥视。～下妈咪喺厨房整乜餸。(偷偷看一看妈妈在厨房做什么菜。)
𠕄(凹)	nap1 ①凹。～入去(凹进去)②瘪。个乒乓波～咗。(那乒乓球瘪了。)│车呔～晒。(轮胎全瘪了。)[字可写作「凹」，其中一个用法与普通话「凹」一样，但读音完全不同]
𠕄(凹凹)突突	nap1 nap1 dat6 dat6-1 凹凸不平。个枱面～。(桌面凹凸不平。)│条路～。(这条路凹凸不平。)
𠼮	ngai1 恳求；哀求。～契爷噉～。(像求干爹般地恳求。)│我呢个人最怕～㗎嘞。(我这个人最怕别人哀求。)
𠼮求	ngai1 kau4 同「𠼮」。
𠶲	kap6 大口咬；迅速地咬。一啖～咗半只饼。(一口咬了半个饼。)
𠴕	miu2 努嘴；抿嘴。～嘴
𡄴	waak1 嘴巴厉害；能说会道(略带贬义)。呢兜僆仔把嘴好～嘅。(这个小青年嘴巴很厉害的。)
𡄴𡄴声	waak1 waak1 seng1 同「𡄴」。～嘅人唔一定有料。(能说会道的人不一定有能耐。)
𠵿	pe1 【外】用于扑克；对儿。一～8│一～倾(一对K)[英语pair。]
𠵿	pe1 【外】用于成对的情侣；对儿。呢便一～，嗰边一对。(这边一对儿，那边一双。)[英语pair。]
𠵿	pe1 【外】①扑克。②数字相同、可以一齐出的两张扑克；对儿。你出亲～实输。(你要是出对儿一定输。)[英语pair]
𠵿囗(巴仙)	pe6 sen1 百分之一；百分点。升咗三个～。(升了百分之三。)[英语percent]
𠺘	long2 涮洗(器皿等)。～痰罐(涮痰盂)│攞滚水～下个碗。(用开水把碗涮一涮。)
𠺘口	long2 hau2 漱口(𠺘：涮洗)。食完糖～，唔系好易烂牙㗎。(吃完糖果要漱口，要不很容易蛀牙。)
𠺘口盅	long2 hau2 zung1 漱口缸。咪用人哋个～啦。(别用别人的漱口缸。)
𡃈	kwaak3 ①逛。～街(逛街)│两头～(逛来逛去)②绕(路)。～咗个大运。(绕了个大弯。)
𡄵	ji1 呲。～开棚牙(呲牙)。
