baby 啤啤	婴儿。
ball boot 波砵	球鞋
ball 波	①球②特指足球
Book 卜位	①登记②预订。
boss 波士	老板。
bus 巴士	公共汽车。
carefree 骑呢啡	源自拍电影，指小角色、跑龙套的。
case 畸士	案件，事件
chance 餐士	（桌球用语）机会
cheese 芝士	干酪、乳酪。
chocolate 朱古力	巧克力
class 卡士	①档次②阶级、班级
cookie 曲奇	小甜饼
coolie 咕喱	①苦力②搬运工人
cream 忌廉	奶油。
cut 咳	中断
daddy 爹哋	爸爸
darling 打令	亲爱的、心爱的。
deuce 叨时	（网球）平分、平手。
face 飞士	面子
facial 飞数	美容、按摩脸部
fail 肥佬	失败、不合格
fans 粉丝	①支持者②爱好者、入迷者。
fault 否	①淘汰②缺点。
file 快佬	卷宗、文档。
film 菲林	胶卷、底片
fuse 灰士	保险丝
gay 基佬	（男）同性恋
gear 偈	（齿轮）传动装置。
honey 亨尼	甜蜜的，亲爱的
jelly 啫喱	果子冻。
keep 喼	保存、保留
kiss 奇士	指接吻。
lace 喱士	花边饰带。
Laine（法文） 冷	毛线
last 啦士	最后的。
license 拉臣	执照、牌照
logo 捞稿	标志、标籖
lorry 捞拿	滑旱冰
mammy 妈咪	妈妈。
mark 唛	①牌号②商标
merchant 孖展	商人
miss 密士	小姐
moderm 踎登	调制解调器
modern 摩登	时髦的。
money 蚊尼	钱、钞票
mose 髦士	发胶
motor 摩打	马达、电动机
note 碌士	笔记
number one 冧把温	第一。
number 冧把	①号码②编号③门牌。
nylon 尼龙	合成纤维
order 柯打	①命令②定货单。
ounce 安士	盎司。
pair 𠵿	①一双、一对②扑克牌
park 泊车	停车（现在的停车场大多有一个「p」的标志）
partner 拍拿	①舞伴②搭档
party 派对	指交际性的聚会，尤指跳舞会等。
pass 趴士	通过
passport 派司砵	指护照。
pie 批	有馅的西式饼食
pose 甫士	摆姿势
postcard 甫士卡	指明信片
pump 泵	①水泵②打气筒③抽（水）
quality 柯尼	①资格、资历②本事
rolex 捞士	劳力士（手表）
rum 冧酒	糖酒。
sars 沙士	①非典②一种汽水
saxophone 昔士风	萨克斯风
sells 销士	推销员。
sex 锡士	性感。
shirt 恤衫	衬衫
show 骚	做节目，作秀
size 晒士	规格，尺码
slick 士叻	光滑
snooker 士碌架	台球
socket 插苏	电源插座。
soda 梳打	堿、碳酸钠
sofa 梳化	沙发，长椅
soft 疏扶	轻松，舒服
spanner 士巴拿	活动扳手，螺旋钳
spare tire 士啤呔	后备车轮
spare 士啤	①备用②替代
stamp 士担	邮票
starter 士他胆	起动器
stick 士的	手杖、拐棍
store 士多	小商店
strawberry 草莓	草莓
sundae 新地	一种冰淇淋
switch 士域只	指电流关键
taste 剔士	品味、品嚐、口味。
taxi 的士	①出租小汽车②台湾称计程车。
tie 𧘹	领带。
tips 贴士	①提示②小费③须知。
toast 多士	①烤面包②上海叫「吐司」
tyre 呔	轮胎
waste 威士	废棉纱头
wire 威也	金属线缆
yeast 伊士	酵母
yelling 夜冷	旧货、二手货
啤啤	baby 婴儿。
波砵	ball boot 球鞋
波	ball ①球②特指足球
卜位	Book ①登记②预订。
波士	boss 老板。
巴士	bus 公共汽车。
骑呢啡	carefree 源自拍电影，指小角色、跑龙套的。
畸士	case 案件，事件
餐士	chance （桌球用语）机会
芝士	cheese 干酪、乳酪。
朱古力	chocolate 巧克力
卡士	class ①档次②阶级、班级
曲奇	cookie 小甜饼
咕喱	coolie ①苦力②搬运工人
忌廉	cream 奶油。
咳	cut 中断
爹哋	daddy 爸爸
打令	darling 亲爱的、心爱的。
叨时	deuce （网球）平分、平手。
飞士	face 面子
飞数	facial 美容、按摩脸部
肥佬	fail 失败、不合格
粉丝	fans ①支持者②爱好者、入迷者。
否	fault ①淘汰②缺点。
快佬	file 卷宗、文档。
菲林	film 胶卷、底片
灰士	fuse 保险丝
基佬	gay （男）同性恋
偈	gear （齿轮）传动装置。
亨尼	honey 甜蜜的，亲爱的
啫喱	jelly 果子冻。
喼	keep 保存、保留
奇士	kiss 指接吻。
喱士	lace 花边饰带。
冷	Laine（法文） 毛线
啦士	last 最后的。
拉臣	license 执照、牌照
捞稿	logo 标志、标籖
捞拿	lorry 滑旱冰
妈咪	mammy 妈妈。
唛	mark ①牌号②商标
孖展	merchant 商人
密士	miss 小姐
踎登	moderm 调制解调器
摩登	modern 时髦的。
蚊尼	money 钱、钞票
髦士	mose 发胶
摩打	motor 马达、电动机
碌士	note 笔记
冧把温	number one 第一。
冧把	number ①号码②编号③门牌。
尼龙	nylon 合成纤维
柯打	order ①命令②定货单。
安士	ounce 盎司。
𠵿	pair ①一双、一对②扑克牌
泊车	park 停车（现在的停车场大多有一个「p」的标志）
拍拿	partner ①舞伴②搭档
派对	party 指交际性的聚会，尤指跳舞会等。
趴士	pass 通过
派司砵	passport 指护照。
批	pie 有馅的西式饼食
甫士	pose 摆姿势
甫士卡	postcard 指明信片
泵	pump ①水泵②打气筒③抽（水）
柯尼	quality ①资格、资历②本事
捞士	rolex 劳力士（手表）
冧酒	rum 糖酒。
沙士	sars ①非典②一种汽水
昔士风	saxophone 萨克斯风
销士	sells 推销员。
锡士	sex 性感。
恤衫	shirt 衬衫
骚	show 做节目，作秀
晒士	size 规格，尺码
士叻	slick 光滑
士碌架	snooker 台球
插苏	socket 电源插座。
梳打	soda 堿、碳酸钠
梳化	sofa 沙发，长椅
疏扶	soft 轻松，舒服
士巴拿	spanner 活动扳手，螺旋钳
士啤呔	spare tire 后备车轮
士啤	spare ①备用②替代
士担	stamp 邮票
士他胆	starter 起动器
士的	stick 手杖、拐棍
士多	store 小商店
草莓	strawberry 草莓
新地	sundae 一种冰淇淋
士域只	switch 指电流关键
剔士	taste 品味、品嚐、口味。
的士	taxi ①出租小汽车②台湾称计程车。
𧘹	tie 领带。
贴士	tips ①提示②小费③须知。
多士	toast ①烤面包②上海叫「吐司」
呔	tyre 轮胎
威士	waste 废棉纱头
威也	wire 金属线缆
伊士	yeast 酵母
夜冷	yelling 旧货、二手货
斗令	广州人（香港人）以前习惯把半毫子叫做「斗令」，还派生出一句「斗令咁多」（即很少的意思）,「斗令」的来历原来与我国的币制有关。在清末民初，我国所铸一元面额的银币——「龙银」、「袁大头」、「孙头」等银元，每枚重量均为七钱二分（旧衡）。所以半毫子当时与「三分六银」等值。尔后改为纸币，但名称却沿用下来。那么，「三分六」又怎会变成「斗令」的呢？这些都是与广州商家流行的隐语有关。所谓「市头隐语」，实际上是用十个单字去隐喻从一到十的十个数字。如：支、辰、斗、苏、马、令、侯、庄、弯、享十个字，分别隐喻一、二、三、四、五、六、七、八、九、十。这十个数中「三」、「六」两个数，代用的是「斗」和「令」。所以，半角钱（昔日的三分六厘银）暗码就是「斗令」。
㗱㗱声	象声词，嚼东西的声音
㧬人	推人。
㧬火	整理灶内柴草
㧬落	推下去。
㨆上	把东西放在上面。
㨆人堆	形容人叠人，人山人海
㨆好	堆砌得有层次、好看
㨆柴	把木柴堆放好
㨆满	堆满
㨆满晒	叠得高高的、满满的
㨆起身	堆砌起来。
㷫合合	①热烘烘的②身体发热③对某事物产生浓厚兴趣
㷫焫焫	①身体发烫②好表现自己
㷫过焫鸡	指对某人或某件事的热度比电烙铁还热
䁓下先	偷偷地看一下
䁓到正	逮个正著，刚好让別人碰上
