+1	gaa1 jat1
0	ling4
0.5	ling4 dim2 ng5
00後	ling4 ling4 hau6
0仔	ling4 zai2
1	jat1
10	jat1 ling4
10000米	jat1 maan6 mai5
100米	jat1 baak3 mai5
100米欄	jat1 baak3 mai5 laan4
100米跨欄	jat1 baak3 mai5 kwaa1 laan4
10月	sap6 jyut6
110	jat1 jat1 ling4
110米欄	baak3 jat1 mai5 laan4
110米欄	jat1 baak3 jat1 sap6 mai5 laan4
110米跨欄	baak3 jat1 mai5 kwaa1 laan4
110米跨欄	jat1 baak3 jat1 sap6 mai5 kwaa1 laan4
119	jat1 jat1 gau2
11區	sap6 jat1 keoi1
11月	sap6 jat1 jyut6
120	jat1 ji6 ling4
12月	sap6 ji6 jyut6
1500米	cin1 ng5 mai5
1500米	jat1 cin1 ng5 baak3 mai5
1812年戰爭	jat1 baat3 jat1 ji6 nin4 zin3 zang1
1仔	jat1 zai2
1月	jat1 jyut6
1號電池	jat1 hou6 din6 ci4
200米	ji6 baak3 mai5
200米	loeng5 baak3 mai5
2019冠狀病毒病	ji6 ling4 jat1 gau2 gun1 zong6 beng6 duk6 beng6
20國集團	ji6 sap6 gwok3 zaap6 tyun4
233	ji6 saam1 saam1
2月	ji6 jyut6
2號電池	ji6 hou6 din6 ci4
3000米障礙	saam1 cin1 mai5 zoeng3 ngoi6
3D	saam1 di1
3D打印	saam1 di1 daa2 jan3
3D打印機	saam1 di1 daa2 jan3 gei1
3P	saam1 pi1
3月	saam1 jyut6
3號電池	saam1 hou6 din6 ci4
400米	sei3 baak3 mai5
400米欄	sei3 baak3 mai5 laan4
400米跨欄	sei3 baak3 mai5 kwaa1 laan4
4×100米	sei3 sing4 jat1 baak3 mai5
4×400米	sei3 sing4 sei3 baak3 mai5
4月	sei3 jyut6
4號電池	sei3 hou6 din6 ci4
5000米	ng5 cin1 mai5
555	wu1 wu1 wu1
5月	ng5 jyut6
5號電池	ng5 hou6 din6 ci4
666	luk6 luk6 luk6
689	luk6 baat3 gau2
69	luk6 sap6 gau2
6月	luk6 jyut6
7	cat6
70後	cat1 ling4 hau6
70後	cat1 sap6 hau6
7仔	cat1 zai2
7月	cat1 jyut6
7號電池	cat1 hou6 din6 ci4
800米	baat3 baak3 mai5
80後	baat3 ling4 hau6
80後	baat3 sap6 hau6
8月	baat3 jyut6
9	gau1
90後	gau2 ling4 hau6
90後	gau2 sap6 hau6
9月	gau2 jyut6
AA	ei1 ei1
AAA電池	saam1 ei1 din6 ci4
AA制	ei1 ei1 zai3
AA電池	ei1 ei1 din6 ci4
ABC群島	ei1 bi1 si1 kwan4 dou2
ABO血型系統	ei1 bi1 ou1 hyut3 jing4 hai6 tung2
