AA制	ei1 ei1 zai3
BB	bi4 bi1
BB机	bi1 bi1 gei1
D	di2
K客	kei1 haak3
T裇	ti1 seot1
锄大D	co4 daai6 di2
青BB	ceng1 bi1 bi1

𫵱	cat6
𢆡	nin1
𢆡	nin1
𢆡罩	nin1 zaau3
𩬎	jam4
𩬎	jam1
阴	jam4
阴	jam1
𩯊	niu1
𩯊	niu1
𩯊高	niu1 gou1
𥊙	zong1
𠕄	nap1
凹	nap1
𠼮	ngai1
𠼮求	ngai1 kau4
𠶲	kap6
𠴕	miu2
𡄴	waak1
𡄴𡄴声	waak1 waak1 seng1
𠵿	pe1
𠵿	pe1
𠵿	pe1
𠵿囗	pe6 sen1
巴仙	pe6 sen1
𠺘	long2
𠺘口	long2 hau2
𠺘口盅	long2 hau2 zung1
𡃈	kwaak3
𡄵	ji1
𡄵牙𠾴哨	ji1 ngaa4 baang6 saau3
𡄵牙𠾴哨	ji1 ngaa4 baang6 saau3
𡀖	but1
𡀖𡀖车	but1 but1 ce1
𩓥	ngok6
岳	ngok6
𢃇	lei5
𢰸	wo5
𢰸	wo5
㩋	sok1
箾	sok1
𦜖定	ngaa6 deng6
𦜖埞	ngaa6 deng6
𦜖膪	ngaa6 zaa6
𦜖膪	ngaa6 zaa6
𥀬	jim2
𤖴	saak3
𤖴	saak3
𤖴角	saak3 gok3
𤙴	caau1
觘	caau1
𥊼	caang4
𥊼眼	caang4 ngaan5
𥹉	nap6
𥹉称称	nap6 cing3 cing3
𥹉糯	nap6 no6
𥹉黐黐	nap6 cing3 cing3
𦤦	hot3
𦧺	laai2
詏数口	aau3 sou3 hau2
𨂾	naam3
𨂾	naam3
𨂾光黑	naam3 gwong1 haak1
𨂾光黑	naam3 gwong1 hak1
𨃩	sin3
𨃩	sin3
𨃩西瓜皮	sin3 sai1 gwaa1 pei4
𨀤	leoi1
𨭌	paang1
𩜠𩜠	mam1 mam1
𪐀	naa1
𪐀	naa1
𪐀㨢	naa1 nang3
𪐀埋	naa1 maai4
𪐀经	naa1 gaang1
𪐀耕	naa1 gaang1
𠾴	baang4
𠾴	baang4
𠾴	baang4
囗	toe3
囗	soet6
囗	soe4
囗	soe4
囗	pu4
囗	pu4
囗	oet6
囗	oet6
囗	oet6
囗	oe1
囗	nget1
囗	nge5
𦧲	loe2
𦧲	loe2
纩	kwang3
囗	kit1
囗	jeot1
啹	goe1
啹	koe1
啹	goe1
𢝵	fit1
𠱥	fik6
𠱥	fak6
𠱥	fik6
礊	faak3
礊	faak3
礊	faak3
吃	cu2
囗	bap6
囗	bap6
囗囗囗	oe4 oe1 oe3
囗囗囗囗	gwit1 gwit1 gwet1 gwet1
囗囗囗囗	fi4 fi4 fet6 fet6
囗囗囗囗	fit4 fit4 fet6 fet6
叽叽趷趷	gi1 gi1 gat6 gat6
𪚩𪚩呱呱	gwi1 gwi1 gwaa1 gwaa1
囗囗咔咔	ki1 ki1 kaa1 kaa1
囗囗哦哦	ngi4 ngi4 ngo4 ngo4
囗囗哦哦	ngi4 ngi1 ngo4 ngo4
囗囗声	wiu2 wiu2 seng1
囗囗声	oet4 oet2 seng1
囗囗声	gwet1 gwet1 seng1
囗囗声	gwet1 gwet1 seng1
囗囗声	goet4 goet2 seng1
齮齮牙牙	ngi4 ngi4 ngaa4 ngaa4
齮齮牙牙	ngi4 ngi1 ngaa4 ngaa4
喴哗鬼叫	wi1 waa1 gwai2 giu3
喴哗鬼叫	gwi1 gwaa1 gwai2 giu3
喴哗鬼震	wi1 waa1 gwai2 zan3
纩㨢	kwang3 nang3
喴呜喴呜	wi1 wu3 wi1 wu3
𦧲地	loe2 dei6
𦧲地	loe2 dei2
礊水蛋	faak3 seoi2 daan6
礊水蛋	faak3 seoi2 daan2
𪙛牙	nak1 ngaa4
𪙛牙	nak1 ngaa2
叽趷	gi1 gat6
叽趷	gi1 gat6
㓢	lok1
㓢牙	lok1 ngaa4
㓤	gat1
㗎	gaa4
㗎	gaa3
㗎	gaa3
㗾	hoe4
㗾	hoe4
㗾㗾声	hoe4 hoe4 seng1
㗾㗾声	hoe4 hoe2 seng1
㜺	zaan2
㜺鬼	zaan2 gwai2
㞓	hai1
㞘底	duk1 dai2
