BB机	bi1 bi1 gei1
T裇	ti1 seot1
K客	kei1 haak3
青BB	ceng1 bi1 bi1

一句钟	jat1 geoi3 zung1
七彩	cat1 coi2
三文治	saam1 man4 zi6
也文也武	jaa5 man4 jaa5 mou5
些厘酒	se1 lei4 zau2
人妖	jan4 jiu1
人渣	jan4 zaa1
人蛇	jan4 se4
仄纸	zak1 zi2
伊士	ji1 si2
侍仔	si6 zai2
供楼	gung1 lau4
供楼	gung1 lau2
做家庭工	zou6 gaa1 ting4 gung1
傍友	bong6 jau5
傍友	bong6 jau2
克戟	haak1 gik1
克戟	haak1 kik1
免治	min5 zi6
写字楼	se2 zi6 lau4
冧巴温	lam1 baa2 wan1
冧酒	lam1 zau2
出入口	coet1 jap6 hau2
判头	pun3 tau4
判头	pun3 tau2
动粗	dung6 cou1
占	zim1
卡士	kaa1 si6
卡拉	kaa1 laa4
口水佬	hau2 seoi2 lou2
口痕友	hau2 han4 jau5
口痕友	hau2 han4 jau2
吊泥艋	diu3 nai4 maang5
吊泥艋	diu3 nai4 maang1
听尼士	ting1 ni1 si6
咭	kit1
咭仔	kit1 zai2
咭女	kit1 neoi5
咭女	kit1 neoi2
哈佬	haa1 lou2
啤令	be1 ling2
啫喱	ze1 lei1
啫喱	ze1 lei2
嘉年华会	gaa1 nin4 waa4 wui6
四方辫顶	sei3 fong1 bin1 deng2
垃圾虫	laap6 saap3 cung4
基佬	gei1 lou2
墨七	mak6 cat1
士多	si6 do1
士多啤梨	si6 do1 be1 lei2
士钵裇	si6 but1 seot1
声线	seng1 sin3
大出血	daai6 ceot1 hyut3
大班	daai6 baan1
大碟	daai6 dip6
大碟	daai6 dip2
大红大紫	daai6 hung4 daai6 zi2
奶昔	naai5 sik1
妈咪	maa1 mi3
妈姐	maa1 ze2
妈姐	maa2 ze2
学神	hok6 san4
宾妹	ban1 mui6
宾妹	ban1 mui1
寒底	hon4 dai2
寒飞	hon4 fei1
小巴	siu2 baa1
屈水	wat1 seoi2
屈蛇	wat1 se4
山埃	saan1 ngaai1
工业行动	gung1 jip6 haang4 dung6
巴仙	poe3 sen1
开盘	hoi1 pun4
开盘	hoi1 pun2
式	sik1
快劳	faai1 lou2
成盘	sing4 pun4
成盘	sing4 pun2
戥穿石	dang6 cyun1 sek6
房车	fong4 ce1
打坏	daa2 waai6
打真军	daa2 zan1 gwan1
托水龙	tok3 seoi2 lung4
抄牌	caau1 paai4
披头士	pei1 tau4 si6
拉士	laai1 si6
拉臣	laai1 san4
拉臣	laai1 san2
拍拿	paat1 naa4
拖肥糖	to1 fei4 tong4
拖肥糖	to1 fei4 tong2
探盘	taam3 pun4
探盘	taam3 pun2
摆甫士	baai2 pou1 si2
摩晞	mo1 hei1
擦鞋	caat3 haai4
收得	sau1 dak1
文员	man4 jyun4
新地	san1 dei6
新潮	san1 ciu4
时唛	si4 mak1
晒士	saai1 si2
曲奇	kuk1 kei4
杀手	saat3 sau2
杂差	zaap6 caai1
架步	gaa3 bou6
柯打	o1 daa2
桑拿浴	song1 naa4 juk6
梳乎厘	so1 fu4 lei4
楼花	lau4 faa1
歪乌连	waai1 wu1 lin1
沙士坚	saa1 si6 gin1
沙展	saa1 zin2
沙律	saa1 leot2
油脂	jau4 zi1
波士	bo1 si6
波士	bo1 si2
波钵	bo1 bat1
派司	paa1 si6
派对	paat1 ti4
烧冷灶	siu1 laang5 zou3
热气饭	jit6 hei3 faan6
热狗	jit6 gau2
爆格	baau3 gaak3
爆窃	baau3 sit3
爹哋	de1 di4
状师	zong6 si1
班房	baan1 fong4
班房	baan1 fong2
甫士咭	pou1 si6 kat1
画花口面	waak6 faa1 hau2 min6
畸士	kei1 si2
的士够格	dik1 si6 gau3 gaak3
盛行	sing6 hong4
盛行	sing6 hong2
石狗公	sek6 gau2 gung1
石罅米	sek6 laa3 mai5
箍臣	ku1 san2
篱士	lei1 si2
缉蛇	cap1 se4
臭飞	cau3 fei1
色狼	sik1 long4
花令纸	faa1 ling2 zi2
茄哩啡	ke1 le1 fe1
茄士咩	ke1 si6 me1
菲佣	fei1 jung4
蛇头	se4 tau4
蛇客	se4 haak3
蛇窟	se4 fat1
蜜丝	mat6 si1
衰牌	seoi1 paai4
衰牌	seoi1 paai2
见红	gin3 hung4
货柜	fo3 gwai6
贴士	tip1 si2
贼亚爸	caak6 aa3 baa1
走鬼	zau2 gwai2
起尾注	hei2 mei5 zyu3
超值	ciu1 zik6
跳楼货	tiu3 lau4 fo3
跳楼货	tiu3 lau2 fo3
连仁	lin1 jan2
道友	dou6 jau5
醒目仔	sing2 muk6 zai2
金山丁	gam1 saan1 ding1
钵酒	but1 zau2
镭射唱机	leoi4 se4 coeng3 gei1
雀局	zoek3 guk6
雷公轰	leoi4 gung1 gwang1
青头仔	ceng1 tau4 zai2
青春片	ceng1 ceon1 pin3
青春片	ceng1 ceon1 pin2
非礼	fei1 lai5
面左左	min6 zo2 zo2
香港地	hoeng1 gong2 dei6
香港地	hoeng1 gong2 dei2
高买	gou1 maai5
鬼仔	gwai2 zai2
鬼妹	gwai2 mui6
鬼妹	gwai2 mui1
鬼婆	gwai2 po4
鬼婆	gwai2 po2
黄牛	wong4 ngau4
黐筋	ci1 gan1
黑底	hak1 dai2
默剧	mak6 kek6
𪘲	ji1
𪘲牙𠾴哨	ji1 ngaa4 baang6 saau3
囗	doe3
𨂽	dam6
咄	dyut1
囗	oe1
囗	eot6
礊	faak3
𢝵	fit1
揈	fing6
啹	goe1
儆	geng6
嗗	gut6
𠺬	he2
啡	he3
茄	ke1
𡲢	ke1
茄	ke1
揢	kak1
囗	keng4
梗	kwaang2
纩	kwang3
嘞	lak1
林	lam5
掕	lang3
舐	lim5
舐	lim2
呤	ling3
㓢	lok1
啷	long3
噜	lou3
绷	maang1
抆	man3
囗	meng4
梅	mui2
囗	mung3
乃	naai3
𢺋	naan3
𡃀	nge1
更	ngang3
仰	ngong5
蹨	nim3
囗	niu3
囗	ok6
佊	pe5
塳	pung1
𤖴	saak3
囗	soe4
佮	tap1
泓	waang1
囗	we5
宏	wang6
获	wok1
押	jaap3
𨅝	jaang3
螯	gong6
捎	saau4
螯	gong6
睄	saau4
纩掕	kwang3 lang3
摎搅	laau2 gaau6
嘞揢	lak1 kak1
𡃀𡃀	nge4 nge1
𡃀囗	nge4 ngi1
佮佮冚	tap1 tap1 ham6
囗囗声	ngang4 ngang4 seng1
囗囗声	ngang4 ngang2 seng1
绷绷紧	maang1 maang1 gan2
囗囗脆	ngok1 ngok1 ceoi3
